"response_id","survey_duration","q1_role","q1_role_other","q2_dime_yes","q3_institution","q3_institution_other","q4_responsibility_run","q4_responsibility_review","q4_responsibility_field","q4_responsibility_none","q4_responsibility_other","q5_check_period","q5_check_period_other","q6_hfc_tool_ipacheck","q6_hfc_tool_unhcr","q6_hfc_tool_r_pkgs","q6_hfc_tool_surveycto","q6_hfc_tool_custom_stata","q6_hfc_tool_custom_r","q6_hfc_tool_none","q6_hfc_tool_other","q7_hfc_setup_time","q8_hfc_check_dup","q8_hfc_check_missing","q8_hfc_check_outliers","q8_hfc_check_enum","q8_hfc_check_admin","q8_hfc_check_logic","q8_hfc_check_progress","q8_hfc_check_desc_stats","q8_hfc_check_enum_comments","q8_hfc_check_none","q8_hfc_check_other","q9_hfc_wish_dup","q9_hfc_wish_missing","q9_hfc_wish_outliers","q9_hfc_wish_enum","q9_hfc_wish_admin","q9_hfc_wish_logic","q9_hfc_wish_progress","q9_hfc_wish_desc_stats","q9_hfc_wish_enum_comments","q9_hfc_wish_none","q9_hfc_wish_other","q10_hfc_limits","q11_hfc_output_xls","q11_hfc_output_gdoc","q11_hfc_output_dyn","q11_hfc_output_shiny","q11_hfc_output_none","q11_hfc_output_other","q12_hfc_output_limits","q13_hfc_aware_ipacheck","q13_hfc_aware_unhcr","q13_hfc_aware_r_pkgs","q13_hfc_aware_surveycto","q13_hfc_aware_custom_stata","q13_hfc_aware_custom_r","q13_hfc_aware_none","q13_hfc_aware_other","q14_hfc_improve_ipacheck_access","q14_hfc_improve_ipacheck_function","q14_hfc_improve_ipacheck_custom","q14_hfc_improve_ipacheck_repli","q14_hfc_improve_ipacheck_share","q14_hfc_improve_ipacheck_none","q14_hfc_improve_unhcr_access","q14_hfc_improve_unhcr_function","q14_hfc_improve_unhcr_custom","q14_hfc_improve_unhcr_repli","q14_hfc_improve_unhcr_share","q14_hfc_improve_unhcr_none","q14_hfc_improve_r_pkgs_access","q14_hfc_improve_r_pkgs_function","q14_hfc_improve_r_pkgs_custom","q14_hfc_improve_r_pkgs_repli","q14_hfc_improve_r_pkgs_share","q14_hfc_improve_r_pkgs_none","q14_hfc_improve_surveycto_access","q14_hfc_improve_surveycto_function","q14_hfc_improve_surveycto_custom","q14_hfc_improve_surveycto_repli","q14_hfc_improve_surveycto_share","q14_hfc_improve_surveycto_none","q14_hfc_improve_custom_stata_access","q14_hfc_improve_custom_stata_function","q14_hfc_improve_custom_stata_custom","q14_hfc_improve_custom_stata_repli","q14_hfc_improve_custom_stata_share","q14_hfc_improve_custom_stata_none","q14_hfc_improve_custom_r_access","q14_hfc_improve_custom_r_function","q14_hfc_improve_custom_r_custom","q14_hfc_improve_custom_r_repli","q14_hfc_improve_custom_r_share","q14_hfc_improve_custom_r_none","q14_hfc_improve_other_access","q14_hfc_improve_other_function","q14_hfc_improve_other_custom","q14_hfc_improve_other_repli","q14_hfc_improve_other_share","q14_hfc_improve_other_none","q15_hfc_ideal","formdef_version","key","submissiondate","starttime","endtime"
"1011","166","Researcher (Principal Investigator)",,"No","University, research institute or think tank",,1,1,1,0,,"Weekly",,0,0,0,0,0,0,0,"We have our own tool",99,1,1,0,1,0,1,0,1,1,0,,0,0,0,0,0,0,0,0,0,1,,"It takes a long time",0,0,0,0,1,,,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,0,,,,,,,,,,,,,"No idea",2304051412,"uuid:6d2fee54-c4cf-4d11-a479-ca1aba6c7d4b",2023-04-06 03:04:24,2023-04-06 03:01:38,2023-04-06 03:04:24
"1012","523","Researcher (Principal Investigator)",,"No","University, research institute or think tank",,1,0,0,0,"designing quality control mechanisms; supervising others responsible for data quality control","Daily",,0,0,0,0,0,1,0,,,0,1,1,0,0,1,0,1,0,0,,1,0,0,1,1,0,1,0,1,0,,"Using ODK (and variants thereof, like Kobo, etc.), we cannot check data until it is in the server, and the form is then closed on the enumerator's device. Any edits therefor need to be made manually to the database (or kept track of in a separate step in post-processing). Somehow this doesn't seem optimal.",0,0,1,1,0,,"no. Takes too much time to program, and too many steps are not automated, so its inefficient.",0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2304051412,"uuid:03496fcf-796c-40da-8bff-c234b64c27e1",2023-04-06 03:17:24,2023-04-06 03:08:41,2023-04-06 03:17:24
"1013","324","Researcher (Other)",,"No","Private sector/For-profit organization",,0,0,0,1,,"Other, please specify","Checks done only once when the data is collected",0,0,0,0,0,0,0,"Python",,0,1,0,0,0,0,0,0,0,0,,0,0,1,0,0,1,0,1,0,0,,"Lack of proper data quality check pipeline",0,0,0,0,1,,,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Easily interpretable summary",2304051412,"uuid:d8d294a3-084e-49a5-beae-32a763e50e6b",2023-04-06 03:18:33,2023-04-06 03:13:10,2023-04-06 03:18:33
"1014","1580","Researcher (Other)",,"Yes",,,0,1,0,0,,"Daily",,0,0,0,0,1,0,0,,,1,1,1,1,1,1,1,1,1,0,,,,,,,,,,,,,"They take a long time to run. Outputs are not super intuitive what the enumerator has to do to respond to the flag.",1,0,1,0,0,,,1,0,0,1,0,0,0,,0,1,1,0,0,0,,,,,,,,,,,,,0,1,1,0,0,0,,,,,,,,,,,,,,,,,,,"Output for enumerators to provide feedback on flagged data points, which can then be used to easily apply corrections to the dataset.",2304051412,"uuid:681044de-a9c9-4cdb-ac30-125fb57cd464",2023-04-06 03:31:22,2023-04-06 03:05:02,2023-04-06 03:31:22
"1015","637","Survey firm (Other)",,"No","Private sector/For-profit organization",,0,1,1,0,,"Daily",,0,0,0,1,0,0,0,,8,1,1,1,1,1,1,1,0,1,0,,0,0,0,0,0,0,0,1,0,0,,"The process of conducting data quality checks is time-consuming and resource-intensive.",1,1,1,1,0,,"Yes",0,0,1,0,1,1,0,,,,,,,,,,,,,,1,1,1,1,1,0,,,,,,,1,1,1,1,1,0,1,1,1,1,1,0,,,,,,,,2304051412,"uuid:854266a1-312a-4c53-9c8a-920f4892fd0d",2023-04-06 05:07:01,2023-04-06 04:56:24,2023-04-06 05:07:01
"1016","870","Data scientist",,"Yes",,,1,1,1,0,,"Weekly",,0,0,0,1,1,1,0,,,1,1,1,1,0,0,0,1,0,0,,0,0,0,0,0,1,1,0,0,0,,"When responders have to upload different documents, SurveyCTO doesn't have a standard naming for the documents and exports them all at once in a same folder, making it time consuming to program it to organize the information by responder. At least that's what I've noticed, maybe it does but I haven't figure out how to.",1,1,0,1,0,,"Right now they do",0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Identify repeated or very similar entrees, to track the amount of entrees every certain time, identify outliers, identify patterns in the choices selected, high percentage of missing values, if people began filling up the survey but didn't finish and in which part they stopped responding.",2304051412,"uuid:ea14c502-9314-4c2e-a0cd-85e2c8bbe2f8",2023-04-06 09:33:57,2023-04-06 09:19:26,2023-04-06 09:33:57
"1017","160","Researcher (Principal Investigator)",,"No","Government agency/ministry",,1,0,0,0,,"Daily",,0,0,0,1,0,0,0,,20,1,0,1,1,0,1,0,0,0,0,,0,1,0,0,0,0,0,1,0,0,,,0,0,0,0,1,,,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2304051412,"uuid:66e98948-eced-44e4-bdb0-19c63a02cafa",2023-04-06 09:34:58,2023-04-06 09:32:18,2023-04-06 09:34:58
"1018","2176","Researcher (Research Assistant)",,"Yes",,,0,1,0,0,,"Daily",,0,0,0,0,1,1,0,,24,1,1,1,1,0,1,1,1,1,0,,0,0,0,0,1,0,0,0,0,0,,"There are too many things to check, hard to present in succint way where we can easily catch potential issues!",1,0,1,0,0,,"yes depending on how long the survey is",0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"something very flexible that can easily be adapted to a specific survey or specific needs without too much work. I think the tool should automatize the transition from the raw data to the tfinal output while being super flexible on the checks implemented or what will be included in the final output",2304051412,"uuid:301430df-b125-45d4-8121-0ff5fcd7adec",2023-04-06 10:48:32,2023-04-06 10:12:17,2023-04-06 10:48:32
"1019","334","Researcher (Principal Investigator)",,"No","Government agency/ministry",,0,1,0,0,,"Daily",,0,0,0,1,0,0,0,,2,1,1,1,0,0,0,0,0,0,0,,0,0,0,1,0,1,0,0,1,0,,"NONE",1,1,0,0,0,,"YES",0,0,1,0,0,0,0,,,,,,,,,,,,,,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,"NONE",2304051412,"uuid:ff75ed19-6137-4ec2-bcfc-c0152e000bd9",2023-04-06 10:58:46,2023-04-06 10:53:11,2023-04-06 10:58:46
"1020","318","M&E (Contractor)",,"No","Non-governmental organization (NGO)",,1,1,0,0,,"Weekly",,0,0,0,1,0,0,0,,,1,1,1,0,0,0,0,0,0,0,,0,0,0,1,0,1,0,0,0,0,,,1,0,0,0,0,,,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2304051412,"uuid:8dd7ec4a-7073-4495-8c74-d68547034349",2023-04-06 15:34:45,2023-04-06 15:29:27,2023-04-06 15:34:45
"1021","380","Researcher (Field Coordinator)",,"No","Government agency/ministry",,1,1,1,0,,"More than once a week",,1,0,0,1,1,0,0,,,1,1,1,1,1,1,1,1,1,0,,,,,,,,,,,,,"Some of the nested repeat group in programming are hard to check",1,0,1,0,0,,"Sometimes it become hard to display all results in spreadsheet",0,0,0,0,0,0,0,"Stata",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,0,"Easy to be reproducible, and producing readable results",2304051412,"uuid:8b3615a7-7ad7-4ce2-94fc-034d323a1081",2023-04-06 16:33:00,2023-04-06 16:26:40,2023-04-06 16:33:00
"1022","588","Researcher (Principal Investigator)",,"No","Development agency (FCDO,IADB, AfDB, UN, EU, etc)",,1,1,0,0,,"Daily",,1,0,0,0,1,0,0,,20,1,1,1,1,1,1,1,1,1,0," to check whether this information could have been classified in existing categories or if new categories should be created",,,,,,,,,,,,"Takes some time to adapt, especially when multiple rosters (with survey solutions surveys at least), outputs are not always at the same place",1,0,0,0,0,"Online dashboard within the survey software","Could be more visual",0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dashboards that can be customized, faster adaptation to the survey tools",2304051412,"uuid:609fa220-01dd-4e52-a783-ae1d97ca14e5",2023-04-06 17:37:20,2023-04-06 17:27:32,2023-04-06 17:37:20
"1023","366","Researcher (Research Assistant)",,"No","University, research institute or think tank",,1,1,0,0,,"Weekly",,0,0,0,0,0,0,0,"Manual checks",5,1,1,1,1,1,1,1,1,0,0,,0,0,0,0,0,0,0,0,0,1,,"Don't get out an output file with results of all the checks in one place. I used to generate a pdf of the Stata log file.",0,0,0,0,0,"Log file/pdf","Hard to read, not formatted nicely.",1,0,0,1,0,0,0,,0,0,1,0,0,0,,,,,,,,,,,,,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,"Ability to select which checks i want, which ones to output and be able to visualize them",2304051412,"uuid:bbbcb815-3ad2-47bd-b9c8-8b584a2a9cac",2023-04-06 20:55:55,2023-04-06 20:49:49,2023-04-06 20:55:55
"1024","227","Survey firm (Manager)",,"No","Non-governmental organization (NGO)",,0,1,1,0,,"More than once a month",,0,0,0,0,0,1,0,,2,1,0,0,1,1,1,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,"Not sure, I don’t run it directly",,1,0,0,0,0,,"Yes",0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2304051412,"uuid:ba91e10d-279c-447e-a722-cd6caf3e6752",2023-04-07 06:26:47,2023-04-07 06:22:59,2023-04-07 06:26:47
"1025","1056","Researcher (Research Assistant)",,"Yes",,,1,1,1,0,,"More than once a week",,1,0,0,1,1,0,0,,1260,1,1,1,1,1,1,1,1,1,0,,,,,,,,,,,,,"Does not allow for specific relations checks within and between variables; limited room for some desaggrated sub-group data flow checks.",1,0,1,0,0,,"Difficult to figure out some specific disaggratated data checks; does not allows for some customized level of check that identify discrepancies within and between variables.",0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Flexibility in conducting customed checks; possibility to use conditions over many variables for some checks",2304051412,"uuid:3741590b-2bfa-4131-8065-cd54b8668c31",2023-04-07 09:38:41,2023-04-07 09:21:05,2023-04-07 09:38:41
"1026","194","Researcher (Research Assistant)",,"Yes",,,1,1,1,0,,"Daily",,0,0,0,1,1,0,0,,40,1,1,1,1,1,1,0,1,1,0,,0,0,0,0,0,0,1,0,0,0,,"None",1,1,1,0,0,,"Yes",0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Nit yet",2304051412,"uuid:4d630e5e-b76b-4694-a4dd-c7c48a982ba6",2023-04-07 09:51:19,2023-04-07 09:48:05,2023-04-07 09:51:19
"1027","86140","Researcher (Principal Investigator)",,"Yes",,,0,1,1,0,,"More than once a week",,1,0,0,0,1,0,0,,,1,1,1,1,0,0,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,"I would like to assess the uniformity/variation of answers within individuals/questions/modules, particularly when using Likert scales type-questions",,1,0,0,0,0,,,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2304051412,"uuid:6b485b1c-d78f-481f-8b2e-11598c6d0b5c",2023-04-07 11:58:33,2023-04-06 12:02:53,2023-04-07 11:58:32
"1028","456","Researcher (Principal Investigator)",,"No","Private sector/For-profit organization",,1,0,1,0,,"Daily",,0,0,0,0,1,0,0,,6,1,1,0,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,1,0,,"my team for quality checks assume  the enumerators collected correct data",1,1,0,0,0,,"yes",0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,2304051412,"uuid:5f0bc06d-3b28-4dc1-9525-62b6d2660aac",2023-04-07 12:34:55,2023-04-07 12:27:19,2023-04-07 12:34:55
"1029","1139","M&E (In-House)",,"No","Government agency/ministry",,1,1,1,0,,"More than once a month",,0,0,0,0,0,0,0,"Advanced Excel",3,1,1,1,1,0,1,1,0,1,0,,0,0,0,0,0,0,0,0,0,1,,"Staff Capacity",1,0,1,0,0,,"Yes",0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorting of data by datetime to identify most updated completed forms",2304051412,"uuid:b86f0139-2281-4a10-b07c-0b175ec9067d",2023-04-07 22:15:00,2023-04-07 21:56:01,2023-04-07 22:15:00
"1030","368","Researcher (Research Assistant)",,"No","University, research institute or think tank",,1,1,1,0,,"Daily",,1,0,0,0,0,0,0,,9,1,1,1,1,1,1,1,1,1,0,,,,,,,,,,,,,"The missing percentage per variable by enumerator",1,0,0,0,0,,"Yes",0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Check missing rate per variable by enumerator",2304051412,"uuid:5af75c41-a681-41a6-a809-eb6dde09d594",2023-04-08 06:10:25,2023-04-08 06:04:17,2023-04-08 06:10:25
"1031","275","Researcher (Principal Investigator)",,"No","Private sector/For-profit organization",,1,1,1,0,,"More than once a week",,0,0,0,0,0,0,0,"Excel, KoboCollect and Google Tools",6,0,0,0,1,1,1,1,1,1,0,,0,0,0,0,0,0,0,0,0,1,,,1,1,0,0,0,,,0,0,0,0,0,0,0,"Excel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,0,,2304051412,"uuid:3d400f07-9876-452e-8cab-caebbc4d82da",2023-04-08 06:30:20,2023-04-08 06:25:45,2023-04-08 06:30:20
"1032","862","Researcher (Research Assistant)",,"No","University, research institute or think tank",,1,1,1,0,,"Daily",,0,0,0,0,1,0,0,,6,1,0,1,1,0,0,1,1,1,0,,0,0,0,0,0,1,0,0,0,0,,"The limitations is that we must keep updating the code for data checks, which make it difficult to standardize it for the primary data collection exercises.",1,0,0,0,0,,"Yes",1,0,0,0,0,0,0,,1,0,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," responses because of the enumerator poor understanding of the data collection instrument.",2304051412,"uuid:9da21f09-59a1-4063-ac98-51205901cf01",2023-04-10 06:26:51,2023-04-10 06:12:29,2023-04-10 06:26:51
"1033","160","M&E (In-House)",,"No","Prefer not to say",,0,0,0,1,,"Daily",,0,0,0,1,1,1,0,,,0,0,0,0,0,0,0,0,0,0,"-99",0,0,0,0,0,0,0,0,0,0,"-99",,1,1,0,0,0,,"Yes",0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2304051412,"uuid:205e002d-66bd-48c0-824a-e0da00da62c4",2023-04-10 08:46:14,2023-04-10 08:43:34,2023-04-10 08:46:14
"1034","1107","Researcher (Research Assistant)",,"No","University, research institute or think tank",,1,1,1,0,,"Daily",,0,0,0,0,1,1,0,,40,1,1,1,1,0,1,1,1,1,0,,0,0,0,0,0,0,0,0,0,0,"To cross check with another long data set based of keys (I.e roster data)",,1,0,0,0,0,,,1,1,0,0,0,0,0,,1,1,1,0,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2304051412,"uuid:927c9e16-3065-4f4c-a22f-bdd8f8f712f1",2023-04-10 09:49:22,2023-04-10 09:30:54,2023-04-10 09:49:22
"1035","998","Researcher (Research Assistant)",,"Yes",,,0,1,0,0,"Setting up the code to be run regularly by another team member","More than once a week",,1,0,0,1,0,0,0,,120,1,1,1,1,1,1,1,0,1,0,,0,0,0,0,0,0,0,1,0,0,,"The big issue was in the amount of bugs the newest version of ipacheck has",1,0,0,0,0,,,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The plan for the iehfc platform already incorporates all the features and functionalities that I would like to see",2304051412,"uuid:41c6ea13-4baa-46b1-a065-10949578beb5",2023-04-10 18:29:00,2023-04-10 18:12:22,2023-04-10 18:29:00
